"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 13:28:40 IDT 2023","Thu Oct 05 13:28:47 IDT 2023","6876","desktop Suite","desktop Tests","sanity.Calculator","sanity.Calculator","test03_verifyDivisionByZero","Test03 - Verify division by 0","This test verify division by 0"
"skipped","Mon Sep 25 18:20:14 IDT 2023","Mon Sep 25 18:20:14 IDT 2023","1","Default Suite","FinalProject","sanity.Calculator","sanity.Calculator","test02_verifyMultiplyTwoNumbers","Test02 - Verify Multiply","This test verify number 1 X number 3"
"skipped","Sun Oct 01 09:41:58 IDT 2023","Sun Oct 01 09:41:58 IDT 2023","0","Default Suite","FinalProject","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test02_verifyPriceOfMostExpensiveItem","Test02 - Verify highest price","This test verify the price of the most expensive item"
"passed","Thu Oct 05 12:38:59 IDT 2023","Thu Oct 05 12:39:19 IDT 2023","19776","Mobile Suite","Mobile Tests","sanity.EribankMobile","sanity.EribankMobile","test01_Payment","Test01 - Verify payment process in Eribank App","This test verify payment process in Eribank App. After successful payment the user Balance will go down"
"passed","Thu Oct 05 13:33:52 IDT 2023","Thu Oct 05 13:33:53 IDT 2023","981","Web Suite","Web Tests","sanity.SauceDemoWebTestLogin","sanity.SauceDemoWebTestLogin","test9_verifyLogInErrors","Test09 - Verify login Errors messages","This test verify error messages in the login process"
"skipped","Sun Oct 01 09:41:58 IDT 2023","Sun Oct 01 09:41:58 IDT 2023","0","Default Suite","FinalProject","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test8_verifyCartIcon","Test08 - Verify image of the cart icon","This test verify the cart image icon using sikuli tool"
"broken","Sun Oct 01 09:41:58 IDT 2023","Sun Oct 01 09:41:58 IDT 2023","8","Default Suite","FinalProject","sanity.SauceDemoWeb","sanity.SauceDemoWeb","startSession","startSession",""
"skipped","Sun Oct 01 09:41:58 IDT 2023","Sun Oct 01 09:41:58 IDT 2023","1","Default Suite","FinalProject","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test07_verifyAddedProductsNumber","Test07 - Verify products add to cart","This test verify Total number of products added to the cart"
"passed","Thu Oct 05 13:30:22 IDT 2023","Thu Oct 05 13:30:24 IDT 2023","1930","electron Suite","electron Tests","sanity.Todo","sanity.Todo","test03_addAndVerifyTasks","Test03 - add tasks","This test add tasks to todo list and verify it was added"
"skipped","Mon Sep 25 18:20:14 IDT 2023","Mon Sep 25 18:20:14 IDT 2023","0","Default Suite","FinalProject","sanity.Calculator","sanity.Calculator","test03_verifyDivisionByZero","Test03 - Verify division by 0","This test verify division by 0"
